Resources Remaining,People Saved,Turns Survived,WinLose,Reason
64,1,12,lose,Infection
73,1,9,lose,Infection
49,1,17,lose,Infection
94,1,2,lose,Infection
19,4,18,lose,Infection
76,2,7,lose,Infection
70,1,10,lose,Infection
0,2,25,lose,Starvation
70,2,8,lose,Infection
50.760000000000005,1,18,lose,Infection
82,1,6,lose,Infection
0,3,24,lose,Starvation
91,1,3,lose,Infection
0,2,33,lose,Starvation
94,1,2,lose,Infection
88,1,4,lose,Infection
85,1,5,lose,Infection
28,2,18,lose,Infection
76,2,5,lose,Infection
73,1,9,lose,Infection
82,1,6,lose,Infection
28,1,24,lose,Infection
0,2,21,lose,Starvation
79.6776,1,10,lose,Infection
0,2,22,lose,Starvation
22,1,26,lose,Infection
91,1,3,lose,Infection
58,1,14,lose,Infection
19,1,27,lose,Infection
0,2,23,lose,Starvation
94,1,2,lose,Infection
55,2,10,lose,Infection
73,1,9,lose,Infection
64,1,12,lose,Infection
10,4,18,lose,Infection
0,1,35,lose,Starvation
85,2,3,lose,Infection
64,1,12,lose,Infection
88,1,4,lose,Infection
82,1,6,lose,Infection
67,1,11,lose,Infection
70,2,8,lose,Infection
79,1,7,lose,Infection
65.28,1,13,lose,Infection
73,2,6,lose,Infection
88,1,4,lose,Infection
85,1,5,lose,Infection
76,1,8,lose,Infection
0,4,18,lose,Starvation
79,1,7,lose,Infection
85,2,4,lose,Infection
88,1,4,lose,Infection
79,1,7,lose,Infection
79,1,7,lose,Infection
94,1,2,lose,Infection
52,1,16,lose,Infection
94,1,2,lose,Infection
24.940799999999996,2,19,lose,Infection
38.400000000000006,2,19,lose,Infection
22,1,26,lose,Infection
73,2,5,lose,Infection
16.979999999999997,1,29,lose,Infection
0,5,14,lose,Starvation
49,1,17,lose,Infection
67,1,11,lose,Infection
16,1,28,lose,Infection
85,1,5,lose,Infection
79,2,6,lose,Infection
88,1,4,lose,Infection
70,1,10,lose,Infection
40,1,20,lose,Infection
0,2,28,lose,Starvation
49,1,17,lose,Infection
85,1,5,lose,Infection
85,1,5,lose,Infection
58,1,14,lose,Infection
0,2,20,lose,Starvation
82,1,6,lose,Infection
88,1,4,lose,Infection
0,2,27,lose,Starvation
91,1,3,lose,Infection
94,1,2,lose,Infection
0,3,15,lose,Starvation
70,1,10,lose,Infection
0,3,14,lose,Starvation
76,1,8,lose,Infection
25,2,17,lose,Infection
94,1,2,lose,Infection
0,2,19,lose,Starvation
85,1,5,lose,Infection
0,2,21,lose,Starvation
73,2,8,lose,Infection
0,2,30,lose,Starvation
94,1,2,lose,Infection
61,2,7,lose,Infection
61,2,8,lose,Infection
0,4,12,lose,Starvation
13,2,27,lose,Infection
85,1,5,lose,Infection
94,1,2,lose,Infection
85,2,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
82,1,6,lose,Infection
7,1,31,lose,Infection
94,1,2,lose,Infection
0,3,14,lose,Starvation
52,1,16,lose,Infection
0,3,17,lose,Starvation
88,1,4,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
0,2,20,lose,Starvation
64,2,8,lose,Infection
0,2,21,lose,Starvation
0,3,18,lose,Starvation
0,2,21,lose,Starvation
94,1,2,lose,Infection
85,2,3,lose,Infection
24.8256,2,21,lose,Infection
0,2,19,lose,Starvation
0,3,18,lose,Starvation
91,1,3,lose,Infection
94,1,2,lose,Infection
67,2,6,lose,Infection
79,1,7,lose,Infection
22,2,19,lose,Infection
73,2,6,lose,Infection
71.58,1,11,lose,Infection
94,1,2,lose,Infection
79,2,4,lose,Infection
79,2,5,lose,Infection
91,1,3,lose,Infection
73,2,8,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
0,4,12,lose,Starvation
19,1,27,lose,Infection
46.47839999999999,2,16,lose,Infection
0,2,20,lose,Starvation
0,3,18,lose,Starvation
94,1,2,lose,Infection
0,3,14,lose,Starvation
0,2,19,lose,Starvation
76,1,8,lose,Infection
46,1,18,lose,Infection
76,1,8,lose,Infection
94,1,2,lose,Infection
85,2,3,lose,Infection
82,1,6,lose,Infection
82,2,4,lose,Infection
80.7,1,8,lose,Infection
88,1,4,lose,Infection
94,1,2,lose,Infection
13,2,15,lose,Infection
31,2,16,lose,Infection
41.84,2,15,lose,Infection
49,1,17,lose,Infection
13,2,28,lose,Infection
94,1,2,lose,Infection
0,2,18,lose,Starvation
76,1,8,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
67,2,6,lose,Infection
34,3,19,lose,Infection
67,1,11,lose,Infection
37,2,17,lose,Infection
82,1,6,lose,Infection
94,1,2,lose,Infection
0,4,12,lose,Starvation
55,1,15,lose,Infection
0,3,15,lose,Starvation
22,2,22,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
85,2,3,lose,Infection
88,1,4,lose,Infection
0,2,18,lose,Starvation
88,1,4,lose,Infection
49,2,10,lose,Infection
94,1,2,lose,Infection
43,2,10,lose,Infection
25,2,14,lose,Infection
61,2,8,lose,Infection
52,1,16,lose,Infection
0,2,25,lose,Starvation
94,1,2,lose,Infection
0,3,13,lose,Starvation
0,4,17,lose,Starvation
91,1,3,lose,Infection
61.040000000000006,2,10,lose,Infection
12.079999999999998,2,19,lose,Infection
94,1,2,lose,Infection
61,2,7,lose,Infection
40,1,20,lose,Infection
85,1,5,lose,Infection
0,3,16,lose,Starvation
73,1,9,lose,Infection
94,1,2,lose,Infection
7,2,16,lose,Infection
79,1,7,lose,Infection
58,1,14,lose,Infection
49,1,17,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
85,2,3,lose,Infection
4,3,17,lose,Infection
0,2,18,lose,Starvation
85,1,5,lose,Infection
88,1,4,lose,Infection
94,1,2,lose,Infection
0,3,13,lose,Starvation
73,1,9,lose,Infection
62.459999999999994,1,14,lose,Infection
79,1,7,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
1,3,13,lose,Infection
67,2,9,lose,Infection
91,1,3,lose,Infection
73,2,8,lose,Infection
61,1,13,lose,Infection
94,1,2,lose,Infection
0,2,18,lose,Starvation
0,3,24,lose,Starvation
31,2,18,lose,Infection
85,1,5,lose,Infection
23.58,1,27,lose,Infection
94,1,2,lose,Infection
0,3,14,lose,Starvation
0,3,16,lose,Starvation
0,3,19,lose,Starvation
46,1,18,lose,Infection
88,1,4,lose,Infection
94,1,2,lose,Infection
85,2,3,lose,Infection
82,1,6,lose,Infection
0,4,13,lose,Starvation
30.08,2,16,lose,Infection
34,1,22,lose,Infection
94,1,2,lose,Infection
0,3,13,lose,Starvation
64,1,12,lose,Infection
1,2,23,lose,Infection
0,2,25,lose,Starvation
91,1,3,lose,Infection
94,1,2,lose,Infection
79,2,4,lose,Infection
73,2,7,lose,Infection
91,1,3,lose,Infection
49,1,17,lose,Infection
88,1,4,lose,Infection
94,1,2,lose,Infection
0,2,18,lose,Starvation
0,2,22,lose,Starvation
1,2,19,lose,Infection
28,2,16,lose,Infection
91,1,3,lose,Infection
94,1,2,lose,Infection
79,2,4,lose,Infection
19,2,17,lose,Infection
88,1,4,lose,Infection
0,4,18,lose,Starvation
88,1,4,lose,Infection
94,1,2,lose,Infection
85,2,3,lose,Infection
0,1,34,lose,Starvation
82,2,4,lose,Infection
16,2,17,lose,Infection
13,2,16,lose,Infection
94,1,2,lose,Infection
0,3,14,lose,Starvation
0,2,20,lose,Starvation
58,1,14,lose,Infection
16,2,22,lose,Infection
49,1,17,lose,Infection
94,1,2,lose,Infection
31,3,10,lose,Infection
0,2,23,lose,Starvation
91,1,3,lose,Infection
46,1,18,lose,Infection
73,1,9,lose,Infection
91,1,3,lose,Infection
0,1,35,lose,Starvation
91,1,3,lose,Infection
52,2,11,lose,Infection
1,1,33,lose,Infection
0,2,28,lose,Starvation
31,1,23,lose,Infection
91,1,3,lose,Infection
79,1,7,lose,Infection
91,1,3,lose,Infection
82,1,6,lose,Infection
58,1,14,lose,Infection
82,1,6,lose,Infection
85,1,5,lose,Infection
91,1,3,lose,Infection
37,1,21,lose,Infection
91,1,3,lose,Infection
0,2,33,lose,Starvation
0,2,22,lose,Starvation
88,1,4,lose,Infection
85,1,5,lose,Infection
91,1,3,lose,Infection
7,2,17,lose,Infection
91,1,3,lose,Infection
82,1,6,lose,Infection
79,1,7,lose,Infection
85,1,5,lose,Infection
49,1,17,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
0,2,19,lose,Starvation
82,1,6,lose,Infection
22.979999999999997,2,23,lose,Infection
70,1,10,lose,Infection
91,1,3,lose,Infection
82,1,6,lose,Infection
91,1,3,lose,Infection
0,2,19,lose,Starvation
0,2,19,lose,Starvation
88,1,4,lose,Infection
49,1,17,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
0,1,34,lose,Starvation
0,3,24,lose,Starvation
0,3,22,lose,Starvation
7,2,19,lose,Infection
91,1,3,lose,Infection
0,3,18,lose,Starvation
91,1,3,lose,Infection
88,1,4,lose,Infection
67,2,8,lose,Infection
88,1,4,lose,Infection
58,2,10,lose,Infection
91,1,3,lose,Infection
0,2,20,lose,Starvation
91,1,3,lose,Infection
7,2,29,lose,Infection
49,2,12,lose,Infection
82,1,6,lose,Infection
0,3,31,lose,Starvation
91,1,3,lose,Infection
82,1,6,lose,Infection
91,1,3,lose,Infection
85,1,5,lose,Infection
0,2,20,lose,Starvation
85,1,5,lose,Infection
0,2,26,lose,Starvation
91,1,3,lose,Infection
0,1,35,lose,Starvation
91,1,3,lose,Infection
16,1,28,lose,Infection
0,2,22,lose,Starvation
0,1,34,lose,Starvation
0,2,30,lose,Starvation
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
0,3,18,lose,Starvation
25,2,14,lose,Infection
88,1,4,lose,Infection
52,1,16,lose,Infection
91,1,3,lose,Infection
0,2,23,lose,Starvation
91,1,3,lose,Infection
19,1,27,lose,Infection
52,1,16,lose,Infection
1,2,29,lose,Infection
25,1,25,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
13,2,28,lose,Infection
88,1,4,lose,Infection
0,2,32,lose,Starvation
91,1,3,lose,Infection
16,3,13,lose,Infection
91,1,3,lose,Infection
67,1,11,lose,Infection
0,2,26,lose,Starvation
31,3,14,lose,Infection
73,1,9,lose,Infection
91,1,3,lose,Infection
0,3,20,lose,Starvation
91,1,3,lose,Infection
79,1,7,lose,Infection
0,2,21,lose,Starvation
0,2,20,lose,Starvation
68.7,2,10,lose,Infection
91,1,3,lose,Infection
23.459999999999994,1,27,lose,Infection
91,1,3,lose,Infection
82,1,6,lose,Infection
82,1,6,lose,Infection
85,1,5,lose,Infection
0,1,34,lose,Starvation
91,1,3,lose,Infection
53.16,1,17,lose,Infection
91,1,3,lose,Infection
31,2,13,lose,Infection
0,2,19,lose,Starvation
88,1,4,lose,Infection
79,1,7,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
22,1,26,lose,Infection
85,1,5,lose,Infection
0,2,30,lose,Starvation
0,2,26,lose,Starvation
91,1,3,lose,Infection
82,1,6,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
0,1,34,lose,Starvation
88,1,4,lose,Infection
40,1,20,lose,Infection
91,1,3,lose,Infection
88,1,4,lose,Infection
91,1,3,lose,Infection
0,1,35,lose,Starvation
0,1,34,lose,Starvation
55,1,15,lose,Infection
52,1,16,lose,Infection
91,1,3,lose,Infection
31,2,13,lose,Infection
91,1,3,lose,Infection
79,1,7,lose,Infection
46,2,11,lose,Infection
64,2,8,lose,Infection
16,2,27,lose,Infection
91,1,3,lose,Infection
0,3,20,lose,Starvation
91,1,3,lose,Infection
0,2,19,lose,Starvation
85,1,5,lose,Infection
82,1,6,lose,Infection
19,2,16,lose,Infection
91,1,3,lose,Infection
0.4691999999999936,1,36,lose,Starvation
91,1,3,lose,Infection
25,2,14,lose,Infection
0,2,19,lose,Starvation
88,1,4,lose,Infection
50.760000000000005,2,17,lose,Infection
91,1,3,lose,Infection
56.64,1,16,lose,Infection
91,1,3,lose,Infection
55,2,10,lose,Infection
0,2,20,lose,Starvation
19,2,16,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
91,1,3,lose,Infection
